<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.30	08:00:00	26.683	26.695	26.517	26.577	3455	0	47
2024.04.30	12:00:00	26.579	26.642	26.256	26.381	9052	0	47
2024.04.30	16:00:00	26.381	26.441	26.261	26.279	4806	0	47
2024.04.30	20:00:00	26.285	26.363	26.223	26.328	1554	0	47
2024.05.01	00:00:00	26.328	26.436	26.264	26.379	2332	0	47
2024.05.01	04:00:00	26.379	26.481	26.298	26.400	2849	0	47
2024.05.01	08:00:00	26.400	26.491	26.335	26.463	3420	0	47
2024.05.01	12:00:00	26.457	26.591	26.321	26.513	8184	0	47
2024.05.01	16:00:00	26.509	26.948	26.390	26.520	8874	0	47
2024.05.01	20:00:00	26.522	26.769	26.492	26.749	2624	0	47
2024.05.02	00:00:00	26.746	26.797	26.518	26.550	3072	0	47
2024.05.02	04:00:00	26.550	26.621	26.430	26.434	3383	0	47
2024.05.02	08:00:00	26.435	26.485	26.122	26.276	4446	0	47
2024.05.02	12:00:00	26.276	26.743	25.993	26.501	8796	0	47
2024.05.02	16:00:00	26.501	26.701	26.465	26.640	4219	0	47
2024.05.02	20:00:00	26.647	26.697	26.594	26.661	1198	0	47
2024.05.03	00:00:00	26.664	26.749	26.567	26.621	2675	0	47
2024.05.03	04:00:00	26.621	26.727	26.492	26.524	2800	0	47
2024.05.03	08:00:00	26.524	26.582	26.396	26.443	3444	0	47
2024.05.03	12:00:00	26.442	26.853	26.102	26.296	10593	0	47
2024.05.03	16:00:00	26.300	26.482	26.289	26.480	3884	0	47
2024.05.03	20:00:00	26.478	26.559	26.478	26.534	566	0	47
2024.05.05	20:00:00	26.549	26.612	26.437	26.444	1131	0	47
2024.05.06	00:00:00	26.442	26.978	26.412	26.872	4953	0	47
2024.05.06	04:00:00	26.874	27.141	26.820	27.111	4040	0	47
2024.05.06	08:00:00	27.104	27.176	27.046	27.073	3444	0	47
2024.05.06	12:00:00	27.073	27.402	26.985	27.342	6770	0	47
2024.05.06	16:00:00	27.342	27.462	27.244	27.412	3786	0	47
2024.05.06	20:00:00	27.413	27.454	27.376	27.431	1479	0	47
2024.05.07	00:00:00	27.431	27.488	27.242	27.374	4015	0	47
2024.05.07	04:00:00	27.374	27.382	27.151	27.198	3956	0	47
2024.05.07	08:00:00	27.198	27.300	27.133	27.284	3263	0	47
2024.05.07	12:00:00	27.285	27.502	27.180	27.271	6458	0	47
2024.05.07	16:00:00	27.273	27.325	27.196	27.253	3518	0	47
2024.05.07	20:00:00	27.246	27.254	27.183	27.227	927	0	47
2024.05.08	00:00:00	27.227	27.368	27.062	27.327	4162	0	47
2024.05.08	04:00:00	27.327	27.411	27.080	27.080	3485	0	47
2024.05.08	08:00:00	27.072	27.268	26.988	27.244	4221	0	47
2024.05.08	12:00:00	27.243	27.458	27.140	27.441	6767	0	47
2024.05.08	16:00:00	27.446	27.455	27.281	27.289	3266	0	47
2024.05.08	20:00:00	27.287	27.351	27.279	27.298	936	0	47
2024.05.09	00:00:00	27.296	27.490	27.265	27.459	3029	0	47
2024.05.09	04:00:00	27.458	27.690	27.453	27.543	3985	0	47
2024.05.09	08:00:00	27.539	27.705	27.532	27.689	3419	0	47
2024.05.09	12:00:00	27.689	28.178	27.585	28.086	8027	0	47
2024.05.09	16:00:00	28.087	28.284	28.071	28.281	3351	0	47
2024.05.09	20:00:00	28.275	28.367	28.263	28.318	1571	0	47
2024.05.10	00:00:00	28.318	28.458	28.209	28.349	5202	0	47
2024.05.10	04:00:00	28.348	28.639	28.300	28.602	4645	0	47
2024.05.10	08:00:00	28.606	28.744	28.541	28.546	4551	0	47
2024.05.10	12:00:00	28.549	28.624	28.019	28.221	8862	0	47
2024.05.10	16:00:00	28.221	28.298	28.169	28.185	3945	0	47
2024.05.10	20:00:00	28.184	28.191	28.130	28.152	396	0	47
2024.05.12	20:00:00	28.162	28.192	28.096	28.151	708	0	47
2024.05.13	00:00:00	28.152	28.213	27.946	28.085	4456	0	47
2024.05.13	04:00:00	28.085	28.144	27.959	28.114	3985	0	47
2024.05.13	08:00:00	28.114	28.218	28.028	28.189	4060	0	47
2024.05.13	12:00:00	28.191	28.363	28.047	28.169	7687	0	47
2024.05.13	16:00:00	28.168	28.255	28.168	28.221	3649	0	47
2024.05.13	20:00:00	28.223	28.280	28.169	28.254	946	0	47
2024.05.14	00:00:00	28.257	28.403	28.194	28.393	3708	0	47
