<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.02	00:00:00	29682.27	30029.31	29586.84	29596.95	22566	0	768
2023.08.02	04:00:00	29598.13	29680.96	29517.98	29539.45	16893	0	545
2023.08.02	08:00:00	29539.82	29540.25	29349.52	29530.70	18882	0	1074
2023.08.02	12:00:00	29529.36	29574.08	29163.80	29292.19	20359	0	1147
2023.08.02	16:00:00	29290.41	29326.46	28923.69	29121.97	22479	0	1254
2023.08.02	20:00:00	29122.10	29217.70	29063.29	29168.13	15252	0	1116
2023.08.03	00:00:00	29166.94	29256.52	29111.42	29162.68	16274	0	1152
2023.08.03	04:00:00	29162.37	29169.93	29001.89	29010.31	16169	0	1278
2023.08.03	08:00:00	29010.87	29170.21	28928.90	29110.67	16871	0	1302
2023.08.03	12:00:00	29111.56	29388.00	29042.80	29236.37	19038	0	1084
2023.08.03	16:00:00	29236.33	29340.95	29131.36	29249.20	15550	0	998
2023.08.03	20:00:00	29248.35	29321.02	29140.40	29167.45	15574	0	1000
2023.08.04	00:00:00	29167.84	29228.39	29072.96	29117.80	15552	0	985
2023.08.04	04:00:00	29118.81	29215.93	29102.88	29170.63	14822	0	969
2023.08.04	08:00:00	29170.53	29217.93	29108.29	29128.27	14634	0	975
2023.08.04	12:00:00	29128.45	29300.51	29085.64	29248.43	17459	0	941
2023.08.04	16:00:00	29248.47	29256.85	28924.15	29006.53	14860	0	939
2023.08.04	20:00:00	29006.84	29094.27	28786.33	29085.78	14530	0	1034
2023.08.05	00:00:00	29085.96	29118.84	29037.45	29062.10	13145	0	945
2023.08.05	04:00:00	29062.11	29069.06	29009.18	29015.34	12538	0	982
2023.08.05	08:00:00	29015.36	29058.28	29008.38	29019.47	11716	0	1211
2023.08.05	12:00:00	29019.49	29053.11	28949.71	29008.36	13377	0	1371
2023.08.05	16:00:00	29008.86	29066.78	28979.10	29034.16	11970	0	1276
2023.08.05	20:00:00	29034.57	29064.63	29023.21	29043.59	12262	0	1118
2023.08.06	00:00:00	29043.84	29047.12	29007.91	29023.07	11734	0	1100
2023.08.06	04:00:00	29023.11	29076.86	29017.79	29062.06	11678	0	1049
2023.08.06	08:00:00	29062.52	29105.60	29006.26	29039.57	12525	0	694
2023.08.06	12:00:00	29039.53	29041.70	28962.96	28969.16	12035	0	1363
2023.08.06	16:00:00	28969.71	29075.59	28967.12	29058.78	12303	0	983
2023.08.06	20:00:00	29058.44	29171.98	29003.89	29055.84	13338	0	896
2023.08.07	00:00:00	29052.71	29194.49	28971.68	29128.52	13820	0	769
2023.08.07	04:00:00	29128.52	29158.47	29006.33	29049.60	12996	0	714
2023.08.07	08:00:00	29049.46	29118.44	28992.68	29052.45	11734	0	821
2023.08.07	12:00:00	29051.75	29105.85	28765.25	28826.68	16503	0	924
2023.08.07	16:00:00	28827.60	29162.28	28671.28	29122.88	17962	0	988
2023.08.07	20:00:00	29124.11	29246.89	29091.94	29188.83	13971	0	853
2023.08.08	00:00:00	29185.85	29242.19	29124.95	29177.90	13103	0	792
2023.08.08	04:00:00	29177.90	29289.07	29161.93	29166.08	13048	0	720
2023.08.08	08:00:00	29167.07	29409.88	29151.58	29402.53	12398	0	761
2023.08.08	12:00:00	29403.61	29647.34	29330.57	29500.95	17225	0	715
2023.08.08	16:00:00	29501.10	29948.94	29495.28	29864.44	19327	0	1042
2023.08.08	20:00:00	29864.70	30198.89	29654.46	29746.86	17150	0	899
2023.08.09	00:00:00	29746.85	29859.46	29614.05	29677.52	15158	0	842
2023.08.09	04:00:00	29677.76	29797.58	29619.07	29794.53	14606	0	912
2023.08.09	08:00:00	29795.16	29880.58	29713.73	29870.76	14421	0	887
2023.08.09	12:00:00	29869.88	30116.58	29630.43	29727.82	20841	0	935
2023.08.09	16:00:00	29727.95	29738.58	29354.74	29369.61	18898	0	989
2023.08.09	20:00:00	29371.08	29592.76	29324.54	29550.64	15768	0	1229
2023.08.10	00:00:00	29550.72	29632.25	29529.38	29549.39	14643	0	1099
2023.08.10	04:00:00	29550.30	29573.69	29446.98	29457.84	14210	0	1197
2023.08.10	08:00:00	29457.73	29519.97	29432.67	29466.03	13686	0	1119
2023.08.10	12:00:00	29466.29	29696.30	29348.03	29421.89	19760	0	716
2023.08.10	16:00:00	29422.69	29435.82	29297.78	29368.14	15574	0	1260
2023.08.10	20:00:00	29368.01	29428.04	29360.50	29402.45	13390	0	1207
2023.08.11	00:00:00	29401.46	29452.59	29302.68	29356.92	13705	0	1210
2023.08.11	04:00:00	29356.78	29421.27	29321.75	29355.48	13122	0	1213
2023.08.11	08:00:00	29355.28	29401.74	29288.36	29388.48	13473	0	1123
2023.08.11	12:00:00	29388.91	29509.43	29293.20	29343.07	16939	0	1183
2023.08.11	16:00:00	29343.29	29382.72	29206.51	29352.61	15169	0	1122
2023.08.11	20:00:00	29351.69	29396.38	29346.03	29381.49	12612	0	1062
2023.08.12	00:00:00	29381.67	29418.98	29328.11	29359.33	12974	0	965
2023.08.12	04:00:00	29359.39	29388.34	29339.48	29368.57	12242	0	993
2023.08.12	08:00:00	29368.64	29394.01	29353.54	29387.86	12091	0	807
2023.08.12	12:00:00	29387.80	29421.48	29371.60	29411.65	12276	0	712
2023.08.12	16:00:00	29412.60	29461.08	29382.01	29392.81	12574	0	647
2023.08.12	20:00:00	29392.17	29403.17	29365.14	29393.24	12534	0	851
2023.08.13	00:00:00	29393.33	29428.25	29364.13	29378.83	12193	0	810
2023.08.13	04:00:00	29379.02	29381.31	29333.37	29368.32	12817	0	1272
2023.08.13	08:00:00	29368.64	29384.10	29339.90	29342.44	13032	0	1508
2023.08.13	12:00:00	29342.55	29362.11	29318.23	29337.35	12782	0	1593
2023.08.13	16:00:00	29337.25	29427.65	29290.73	29404.70	13685	0	1522
2023.08.13	20:00:00	29404.73	29409.24	29234.39	29269.20	14172	0	1350
2023.08.14	00:00:00	29270.04	29377.95	29057.52	29345.49	17484	0	1249
2023.08.14	04:00:00	29346.44	29423.80	29335.51	29370.58	14410	0	1110
