<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.20	2012.20	2067.29	1992.31	2021.35	91400	0	158
2023.11.21	2021.46	2034.90	1930.57	1933.47	95193	0	159
2023.11.22	1933.32	2092.16	1929.11	2063.50	89862	0	143
2023.11.23	2063.72	2088.94	2039.44	2062.60	82324	0	152
2023.11.24	2062.47	2132.58	2058.73	2082.37	83711	0	152
2023.11.25	2082.41	2091.88	2066.12	2083.67	72103	0	152
2023.11.26	2083.68	2094.70	2036.11	2062.23	77680	0	163
2023.11.27	2062.09	2071.62	1984.59	2027.51	84974	0	154
2023.11.28	2027.30	2074.76	1994.35	2047.20	83808	0	146
2023.11.29	2047.35	2074.51	2017.84	2028.11	80446	0	154
2023.11.30	2028.16	2053.85	2020.43	2051.49	78947	0	160
2023.12.01	2051.68	2109.15	2044.43	2087.76	85032	0	154
2023.12.02	2087.64	2184.76	2085.78	2164.82	76301	0	161
2023.12.03	2164.58	2215.29	2148.72	2192.93	75908	0	163
2023.12.04	2192.61	2271.12	2191.00	2240.51	87217	0	211
2023.12.05	2240.76	2306.02	2187.72	2291.75	88933	0	219
2023.12.06	2291.94	2308.38	2220.22	2232.32	87677	0	172
2023.12.07	2232.48	2381.86	2222.37	2354.20	88378	0	169
2023.12.08	2354.36	2389.70	2335.77	2356.60	85584	0	186
2023.12.09	2356.62	2401.40	2327.53	2338.41	79913	0	177
2023.12.10	2338.33	2376.56	2320.68	2349.95	75200	0	162
2023.12.11	2349.97	2352.90	2134.79	2223.34	104753	0	165
2023.12.12	2223.36	2243.23	2165.44	2201.69	89866	0	157
2023.12.13	2201.79	2282.47	2144.27	2260.03	91655	0	154
2023.12.14	2260.19	2331.34	2228.94	2314.80	88190	0	175
2023.12.15	2314.70	2317.25	2201.36	2220.32	85327	0	178
2023.12.16	2220.47	2261.90	2210.99	2228.53	77412	0	170
2023.12.17	2228.65	2246.17	2187.70	2195.91	82111	0	179
2023.12.18	2195.93	2222.41	2117.34	2218.33	88148	0	160
2023.12.19	2218.37	2253.88	2135.53	2177.88	83213	0	170
2023.12.20	2178.05	2264.84	2157.85	2202.62	84229	0	202
2023.12.21	2202.52	2279.16	2183.98	2238.86	84176	0	195
