<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.15	1865.490	1870.267	1856.308	1862.387	78143	0	200
2021.11.16	1862.356	1877.067	1849.644	1850.311	99079	0	200
2021.11.17	1850.313	1868.063	1849.530	1866.479	78527	0	200
2021.11.18	1866.507	1870.883	1855.023	1859.578	83755	0	200
2021.11.19	1859.585	1865.621	1842.815	1846.196	101421	0	200
2021.11.21	1842.207	1847.169	1841.485	1844.879	3839	0	200
2021.11.22	1844.909	1849.046	1802.202	1808.997	114375	0	200
2021.11.23	1809.027	1812.370	1781.914	1790.875	112579	0	200
2021.11.24	1790.910	1796.354	1778.150	1789.664	98771	0	200
2021.11.25	1789.698	1795.027	1787.851	1792.628	44282	0	200
2021.11.26	1792.616	1815.467	1780.054	1787.433	108720	0	200
2021.11.28	1788.597	1795.644	1780.238	1795.521	6519	0	200
2021.11.29	1795.490	1799.361	1781.122	1786.826	98867	0	200
2021.11.30	1786.816	1808.477	1769.681	1773.206	139330	0	200
2021.12.01	1773.209	1794.267	1772.598	1781.825	121611	0	200
2021.12.02	1781.812	1781.971	1761.841	1768.989	104024	0	200
2021.12.03	1768.985	1786.072	1766.078	1783.414	109951	0	200
2021.12.05	1782.102	1784.094	1780.691	1782.901	2235	0	200
2021.12.06	1782.933	1787.683	1775.506	1780.931	77827	0	200
2021.12.07	1780.899	1787.791	1771.828	1784.719	74328	0	200
2021.12.08	1784.685	1793.061	1779.530	1783.494	78974	0	200
2021.12.09	1783.474	1787.554	1773.417	1776.327	77263	0	200
2021.12.10	1776.329	1789.123	1769.919	1782.805	76366	0	200
2021.12.12	1782.732	1784.389	1782.710	1783.216	1672	0	200
2021.12.13	1783.217	1791.381	1781.725	1785.722	62122	0	200
2021.12.14	1785.754	1789.462	1766.419	1772.453	74022	0	200
2021.12.15	1772.485	1781.434	1753.053	1779.456	104131	0	200
2021.12.16	1779.466	1799.621	1775.504	1798.708	83297	0	200
2021.12.17	1798.738	1814.191	1795.794	1798.064	76681	0	200
2021.12.19	1800.610	1801.676	1799.386	1800.067	2260	0	200
2021.12.20	1800.065	1804.089	1788.286	1791.617	72693	0	200
2021.12.21	1791.622	1800.238	1784.568	1790.466	68099	0	200
2021.12.22	1790.470	1804.962	1785.846	1803.662	61506	0	200
2021.12.23	1803.660	1810.687	1798.609	1808.451	57419	0	200
2021.12.26	1806.207	1808.526	1805.977	1807.259	1459	0	200
2021.12.27	1807.260	1813.384	1802.871	1812.348	53307	0	200
2021.12.28	1812.360	1820.191	1805.006	1806.560	58071	0	200
2021.12.29	1806.557	1807.626	1789.212	1804.526	66300	0	200
2021.12.30	1804.533	1817.117	1796.118	1815.703	61954	0	200
2021.12.31	1815.704	1828.722	1814.704	1827.615	57515	0	200
2022.01.02	1830.615	1831.730	1828.021	1828.452	1679	0	200
2022.01.03	1828.453	1831.542	1798.304	1804.101	75997	0	200
2022.01.04	1804.127	1816.680	1798.452	1813.873	78878	0	200
2022.01.05	1813.885	1829.591	1808.259	1810.244	79722	0	200
2022.01.06	1810.275	1811.475	1786.332	1791.365	98835	0	200
2022.01.07	1791.381	1798.604	1782.289	1796.899	85391	0	200
2022.01.09	1794.898	1796.069	1794.505	1795.145	1987	0	200
2022.01.10	1795.117	1802.899	1790.033	1801.225	77395	0	200
2022.01.11	1801.195	1823.249	1801.195	1820.722	77420	0	200
2022.01.12	1820.714	1828.061	1814.465	1825.277	74394	0	200
2022.01.13	1825.280	1828.107	1812.206	1820.818	71647	0	200
2022.01.14	1820.817	1829.045	1814.630	1817.639	79137	0	200
2022.01.16	1817.663	1818.081	1815.859	1816.379	1623	0	200
