<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.07	152.836	153.108	152.807	153.050	1171	0	76
2021.11.08	153.078	153.645	152.701	153.579	29799	0	20
2021.11.09	153.608	153.627	152.733	153.072	34454	0	20
2021.11.10	153.100	153.732	152.571	152.733	40834	0	20
2021.11.11	152.763	153.004	152.346	152.383	32432	0	20
2021.11.12	152.411	152.929	152.406	152.759	29278	0	20
2021.11.14	152.826	152.981	152.760	152.885	999	0	76
2021.11.15	152.913	153.272	152.623	153.017	29099	0	20
2021.11.16	153.045	154.283	153.039	154.227	34227	0	20
2021.11.17	154.254	154.738	153.736	153.990	38474	0	20
2021.11.18	154.017	154.276	153.705	154.237	34125	0	20
2021.11.19	154.265	154.443	152.516	153.292	45966	0	20
2021.11.21	153.238	153.355	153.116	153.294	1166	0	76
2021.11.22	153.321	154.052	153.118	153.753	38286	0	20
2021.11.23	153.781	154.210	153.276	153.966	43968	0	20
2021.11.24	153.971	154.144	153.366	153.802	40118	0	20
2021.11.25	153.830	154.055	153.105	153.158	24974	0	20
2021.11.26	153.187	153.239	150.677	151.050	68586	0	20
2021.11.28	151.446	151.883	151.086	151.669	2552	0	76
2021.11.29	151.703	151.863	150.687	151.487	53273	0	20
2021.11.30	151.516	151.622	149.723	150.602	73130	0	20
2021.12.01	150.630	151.432	149.581	149.845	53072	0	20
2021.12.02	149.872	150.788	149.783	150.277	49928	0	20
2021.12.03	150.306	150.750	148.969	149.299	49090	0	20
2021.12.05	149.401	149.652	149.383	149.578	1466	0	76
2021.12.06	149.609	150.598	149.349	150.448	37198	0	20
2021.12.07	150.476	151.123	150.117	150.333	33545	0	20
2021.12.08	150.361	150.694	149.363	150.130	43514	0	20
2021.12.09	150.157	150.309	149.482	149.982	31220	0	20
2021.12.10	150.010	150.504	149.667	150.392	32477	0	20
2021.12.12	150.275	150.451	150.221	150.451	1090	0	76
2021.12.13	150.479	150.749	149.866	150.036	28546	0	20
2021.12.14	150.064	150.580	149.726	150.436	29845	0	20
2021.12.15	150.464	151.442	150.272	151.346	37772	0	20
2021.12.16	151.374	152.624	151.089	151.399	44383	0	20
2021.12.17	151.427	151.708	150.424	150.501	38840	0	20
2021.12.19	150.417	150.510	150.135	150.137	1225	0	76
2021.12.20	150.164	150.400	149.522	150.109	37267	0	20
2021.12.21	150.138	151.407	149.888	151.213	28195	0	20
2021.12.22	151.242	152.572	151.098	152.329	26177	0	20
2021.12.23	152.358	153.702	152.299	153.413	22162	0	20
2021.12.24	153.415	153.540	152.955	153.163	34909	0	40
2021.12.26	153.095	153.302	153.071	153.211	664	0	71
2021.12.27	153.239	154.456	153.160	154.261	16097	0	20
2021.12.28	154.289	154.575	153.999	154.156	17267	0	20
2021.12.29	154.185	155.128	154.051	155.109	21656	0	20
2021.12.30	155.137	155.660	154.913	155.271	21236	0	20
2021.12.31	155.300	156.009	154.992	155.746	19735	0	20
2022.01.02	155.662	155.770	155.621	155.656	672	0	76
2022.01.03	155.684	155.915	154.882	155.457	25854	0	20
2022.01.04	155.485	157.420	155.373	157.152	32011	0	20
2022.01.05	157.179	157.763	156.570	157.374	32559	0	20
2022.01.06	157.401	157.462	156.083	156.767	36284	0	20
2022.01.07	156.793	157.179	156.735	157.025	28720	0	20
2022.01.09	156.958	157.131	156.921	157.110	880	0	76
2022.01.10	157.139	157.370	155.945	156.509	31710	0	20
2022.01.11	156.538	157.303	156.413	157.194	32847	0	20
2022.01.12	157.222	157.698	156.754	157.134	30769	0	20
2022.01.13	157.162	157.453	156.306	156.455	31537	0	20
2022.01.14	156.483	156.521	155.452	156.195	40414	0	20
2022.01.16	156.117	156.285	156.066	156.258	1322	0	76
2022.01.17	156.286	156.711	156.196	156.341	22438	0	20
2022.01.18	156.356	156.874	155.472	155.762	41676	0	20
2022.01.19	155.784	156.223	155.384	155.581	36804	0	20
2022.01.20	155.609	156.056	154.823	154.958	35897	0	20
2022.01.21	154.986	155.012	153.902	154.066	42760	0	20
2022.01.23	154.028	154.210	153.970	154.204	1047	0	35
2022.01.24	154.233	154.482	152.898	153.751	46818	0	20
2022.01.25	153.779	154.005	153.112	153.833	44799	0	20
2022.01.26	153.860	154.735	153.653	154.459	40064	0	20
2022.01.27	154.487	154.711	153.817	154.389	49625	0	20
2022.01.28	154.417	154.951	154.089	154.374	42238	0	20
2022.01.30	154.388	154.517	154.355	154.446	1071	0	35
2022.01.31	154.473	155.326	154.375	154.741	35726	0	20
2022.02.01	154.768	155.200	154.483	155.137	33017	0	20
2022.02.02	155.166	155.430	154.803	155.114	30378	0	20
